"text","label","persona","source_type","scenario"
"Bro got lobang lah. You just like TikTok videos and follow Instagram pages. I pay you $5 per action. One hour can earn $50 easy.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Eh you free or not? I got side hustle for you. Just scroll YouTube and subscribe to channels lor. $8 per subscribe. No need brain one.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Wah bro you still working 9 to 5 ah? Come join my team lah. We do social media boosting. Like follow comment. Easy money sia. $200 a day.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Simple lah bro. I give you list of Shopee products. You go like and leave 5-star review. Each review $10. You can do 20 a day no problem.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Got work for you. Just download this app and complete daily tasks lor. Like videos follow accounts share posts. First day confirm earn $30.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Bro don't say I never jio you ah. This one legit side income. You boost engagement on social media pages. Company pay us per action. You want in or not?","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"I earning $3000 a month just liking and subscribing lor. No joke. You also can one. I bring you into the group then you start earning.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Walao you still broke ah? Come I teach you. Just need phone and wifi. Like Instagram posts the whole day also can earn money. Steady or not?","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Today task easy lah. Go like 50 TikTok videos I send you the link. Done already screenshot send to me. I transfer $25 to your PayNow.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"First 3 tasks free one. You do I pay. After that you join the premium group lor. $50 deposit to unlock better paying tasks. Confirm worth it.","job_scam","ah_beng","synthetic","Social Media Boosting - Like/Follow Scheme"
"Bro easy money lah. You just receive money in your bank account then transfer to another account. Keep 10% for yourself. No risk one.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"I need people who got DBS or OCBC account. Just receive and forward money. Each transfer you keep $100 to $200. Simple right?","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Got a business need help with payment processing lah. You just let me use your account to receive funds then you forward. Commission is 15%.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Wah bro you want earn $500 per day or not? Just open one more bank account and help me move money. Legal one lah trust me.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"My boss overseas cannot receive SGD directly. So need local people help receive then send to his account. Each time you get $150. Interested?","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Eh you got PayNow right? I just need borrow your account for a few transfers. Not illegal lah it's for my import export business. I pay you $300 per use.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"You just sit at home and wait for money come in. Then you transfer out. Keep your cut. Like getting paid to do nothing sia. Best job ever.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Don't be scared lah. Thousands of people doing this already. The company just need local bank accounts for their operations. You act as middleman. Easy money lor.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Bro I need your help. Got client want transfer $20,000 but their bank got limit. You receive then send to other account. I give you $2,000 for the trouble.","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Last month alone I move $50,000 through my account. My commission was $5,000. All I do is click transfer on my phone. You want or not?","job_scam","ah_beng","synthetic","Money Mule Recruitment"
"Hi bro I'm from TalentFirst Recruitment. Saw your resume on JobStreet. Got a Data Analyst position paying $6,500. But need $500 registration fee first lor.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Wah finally someone reply sia. I represent Asia Pacific HR Solutions. Got perfect job for you. $8,000 salary. Just pay $1,000 for background check and training.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Bro got opening at MNC lah. Senior Marketing role. $10,000 per month. But company require $2,000 bond first. Refundable after 3 months confirm.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Your LinkedIn profile quite solid leh. I got a position that match. But our agency charge $800 processing fee. Standard practice one lah.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Got your number from Indeed lor. I'm from Career Bridge Singapore. Got IT Manager role $9,000. Need pay $1,500 for competency assessment first.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Recruitment agent here. Big tech company looking for people. $7,500 starting salary. You need complete our paid training course first. Only $600.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Eh bro you looking for job right? My company hiring urgently. Pay very good one. But HR say must collect $300 admin fee before can proceed with interview.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"I cold message a lot of people but you seem most qualified lor. Finance Director position at a bank. $12,000. Security vetting fee is $3,000. Worth it lah.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Bro opportunity knocking at your door sia. Project Manager role at Jurong shipyard. Good pay good benefits. Just need $700 for safety certification.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"I'm agency recruiter lah. Not those spam type. Got genuine job at Mapletree. Operations Exec $5,500. Small fee of $400 for onboarding package. Pay first work later.","job_scam","ah_beng","synthetic","Fake Recruitment Agency"
"Bro join this Telegram group lah. We do crypto tasks together. Deposit $100 first then complete tasks. Everyday withdraw $50 profit. Confirm one.","job_scam","ah_beng","synthetic","Crypto Task Group"
"Eh you know crypto or not? Got this group where you buy USDT and do trading tasks. Start with $200 can earn $80 per day. I teach you.","job_scam","ah_beng","synthetic","Crypto Task Group"
"Sibei easy sia. Just join the WhatsApp group and follow the boss instructions. Buy the crypto he say buy. Sell when he say sell. Guaranteed profit.","job_scam","ah_beng","synthetic","Crypto Task Group"
"Wah bro this Binance task group damn shiok. Put in $500 yesterday and today already $700. The admin give us the right trades to copy.","job_scam","ah_beng","synthetic","Crypto Task Group"
"You need deposit USDT into the platform wallet first lah. Think of it as your working capital. Then every task you complete you earn commission on top.","job_scam","ah_beng","synthetic","Crypto Task Group"
"Don't be scared of crypto lah. This one not speculating. You just do tasks like verifying transactions. Each task earn $20 to $50. Better than your day job.","job_scam","ah_beng","synthetic","Crypto Task Group"
"The group admin is ex-Goldman Sachs trader bro. He share signals in the group. You follow his trades confirm earn. Just need initial capital of $300.","job_scam","ah_beng","synthetic","Crypto Task Group"
"Last week the group made 40% returns lor. This week target is 60%. You want earn or you want miss out? Deposit minimum $1,000 to join premium tier.","job_scam","ah_beng","synthetic","Crypto Task Group"
"Bro the platform need you complete 5 tasks before can withdraw. Each task require small top up. Start with $50 then $100 then $200. After that can take out everything.","job_scam","ah_beng","synthetic","Crypto Task Group"
"This DeFi staking group confirm legit one. You stake your crypto and earn 5% daily. I already earn $2,000 this month. You want the link or not?","job_scam","ah_beng","synthetic","Crypto Task Group"
"Bro easy job. You just receive parcels at your HDB then reship to overseas address. $30 per parcel. Maybe 5 to 10 parcels per week. Steady income.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"I need local agent to help with my e-commerce business lah. You receive goods at your place then I send courier come collect. Pay you $50 per shipment.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"Walao this logistics job sibei relaxing. Parcel come to your door you just relabel and drop at post office. $40 each. Can do from home.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"My online store kena shipping problem. Need someone in Singapore to receive then forward to my customers in Indonesia. I pay $25 per package. You help lah.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"Part time drop shipping agent wanted. You receive electronics at your address then we arrange pickup. $60 per item. About 3 to 5 items per day.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"Eh bro you stay at home right? Perfect. I need someone receive my Taobao orders. Just hold for 1 to 2 days then reship. I pay $35 per box.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"Got a gig for you. International company need local warehouse agent. Basically your house become mini warehouse lor. $500 per week for storing and reshipping.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"You don't need do anything lah. Just provide your address for delivery. When parcel come you scan the label and paste new one. $20 per parcel. Many parcels per day.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"Bro my supplier ship to SG only. I need someone forward to Vietnam for me. All shipping cost I cover plus pay you $45 per parcel for your trouble.","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"This forwarding service pay damn well sia. My friend last month earn $2,000 just from receiving and reshipping parcels. You want I connect you?","job_scam","ah_beng","synthetic","Parcel Reshipping Scam"
"Bro got easy money. Just complete online surveys. First 3 free. After that pay $5 membership to unlock surveys that pay $15 to $20 each.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Walao just answer some questions online also can earn money sia. I send you the link. Register and start doing surveys. $10 per survey minimum.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Eh you want earn doing product reviews or not? Company pay $8 per review on Shopee. But first need $29 registration fee to join the reviewer program.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"I found this survey platform that pay real cash lor. You complete surveys they credit to your e-wallet. First 5 surveys free then $10 deposit to continue.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Bro this hotel review job damn easy. Stay at hotel write review they pay you. But need $200 deposit first for booking. Refundable after review published.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Got market research company hiring survey panellists lah. Pay $50 per hour for focus group. Registration fee $80 only. After first session already earn back.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Eh help me write fake Google reviews for my friend's restaurant lah. $5 per review. But you need buy a premium Google account first. Only $15.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"This app testing job sibei easy. Download app write review. $12 per app. But need buy tester device $99 first. Company reimburse after 10 reviews.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Product tester wanted lor. Amazon send you free products you review. But shipping and handling fee $45 per product. The product free what so still worth it.","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Complete 10 surveys earn $100. But the catch is you need deposit $20 as commitment fee. They return when you complete all 10. Fair deal right bro?","job_scam","ah_beng","synthetic","Survey and Review Completion"
"Congratulations bro you got the job. Warehouse Supervisor at Tuas. $4,200. But need pay $350 for safety training and uniform before you start.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Wah bro your application approved already. F&B Manager at Marina Bay. $5,000. Just transfer $600 for food hygiene certification. Start next Monday.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Eh good news. You shortlisted for delivery driver position. $3,800 basic plus commission. But need $500 for insurance and deposit on the delivery bike.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Bro the company say they want you. IT Support role at Changi Business Park. $4,500. HR require $400 for equipment setup fee. Standard lor they say.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Your interview was good lah. They offering you the position. Security guard at Sentosa. $3,500. But need pay $250 for security license and screening.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Got a job for you at Jurong port. Crane Operator $5,500. Need $800 for operator license and medical checkup. Pay first then start within the week.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Hotel housekeeping job at Orchard. $3,200 starting. They say need $180 for company polo shirt and name tag. Also $120 for orientation materials.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Walao bro you lucky sia. Sales Executive at car dealership. Basic $4,000 plus commission. But company require $900 bond. Refundable after probation period.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Call centre agent position at Woodlands. $3,000 per month. Need pay $150 for headset and $200 for CRM software license before they can onboard you.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Admin assistant at Raffles Place lor. Good location. $3,800. But HR insist on $450 for mandatory first aid course and background verification. Pay now start fast.","job_scam","ah_beng","synthetic","Advance Fee Job Offer"
"Bro I want buy your item on Carousell but my payment kena stuck. Can you click this link to verify the transaction? Then the money will go through.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Eh seller I very interested in your listing. But Carousell say I need pay processing fee of $12 before can complete purchase. Can you pay first I reimburse?","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Wah your item nice sia. I want buy but I overseas. Can ship to my friend in SG first? I transfer extra $30 for your trouble. Just click this link to arrange.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Bro the Carousell protection payment need both buyer and seller verify. I already verify mine. You need click this link and enter your details to receive the money.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"I already transfer the money but Carousell holding it. They say seller must pay $8 verification fee to release funds. Annoying lah but standard procedure.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Walao I try pay you through the app but keep failing. Can give me your bank account number and I just do direct transfer? Faster this way.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Bro I want buy your stuff but I only can pay by cheque. I send you cheque for $500 but your item only $200. You refund me the difference can?","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"The delivery company need $15 handling fee from the seller before they can ship. I know sounds weird but that's their new policy lor. Just pay first.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Eh I interested in bulk buying from you. 20 pieces. Can give wholesale price? But I need you ship to my warehouse first. Pay you after I inspect.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Bro your listing on Shopee got flagged. You need click this link to verify your seller account or they suspend it. Quick before they take action.","job_scam","ah_beng","synthetic","Carousell E-commerce Scam"
"Bro you follow football or not? I got insider contact at the betting syndicate. Every week sure win tips. Just pay $100 for the weekly package.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Walao bro last night my horse racing tip earn me $2,000. This week I share with you for free first. After that the tips cost $200 per month.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Eh you want sure win 4D numbers or not? My sifu got spiritual method one. Each set of numbers $50. Last week tio first prize $2,000.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"I got this algorithm that predict EPL match results with 85% accuracy. I sell the predictions lah. $150 per week. Last month my subscribers all make money.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Bro join my VIP betting group. Entry fee $500 one time. After that you get daily sure win tips for football and basketball. ROI guarantee 300%.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"My uncle work at Singapore Pools data centre. He got access to the system. I can get TOTO numbers before the draw. $200 per set. You want or not?","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Sibei jialat if you miss this one. Tonight EPL match is fixed. I know the final score already. Place your bet now. I charge $80 for the tip.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Horse racing syndicate looking for investors. You put in $1,000 we bet on fixed races. Returns about $3,000 to $5,000 per race. Almost zero risk.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Bro I won $8,000 from my tipster's football predictions last month. Sharing is caring lah. His Telegram channel is $300 per month. Want the link?","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Got contact inside the casino. He tell me which baccarat table got the best odds tonight. Information fee $100 only. You come Sentosa tonight we play together.","job_scam","ah_beng","synthetic","Gambling Betting Tipster"
"Bro warehouse packer job at Tuas. $15 per hour. But need pay $200 for safety boots and hi-vis vest. Company policy cannot lend.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Eh got forklift operator job at Jurong warehouse. $4,000 per month. But you need forklift license first. I know someone can do express course $350.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Wah this logistics company at Changi hiring urgently. Delivery coordinator $3,800. They require $500 insurance bond before your first day. Refundable after 6 months.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Bro Amazon fulfilment centre opening in SG. Warehouse supervisor $4,500. Need pay $600 for proprietary system training. They email you the certificate after.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Night shift warehouse job at Woodlands. Pay not bad $18 per hour. But company say need $150 for medical checkup at their panel clinic. Standard requirement.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Logistics coordinator at PSA port. Good pay $5,000. But need Dangerous Goods handling cert. I arrange for you $400. Online course complete in one day.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Eh bro Lazada warehouse at Toh Guan hiring. Picker packer $13 per hour. Need $100 deposit for scanner device they lend you. Get back when you return it.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Cold storage warehouse at Senoko. $16 per hour because aircon cold like ice. But need buy own thermal gear. I know where got cheap one lor. About $250.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Shipping company at Pasir Panjang need dock worker. $4,200 per month. Must have WSH cert and pay $300 for company induction program. Start next week.","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
"Walao bro this warehouse job at Ang Mo Kio damn steady. $3,600 basic plus OT. Just need pay $180 for locker deposit and admin processing. Deal or no deal?","job_scam","ah_beng","synthetic","Warehouse Logistics Job"
